feature,drift_score
manager_stability,0.1119834321696917
monthlyrate,0.058866341716465514
age,0.053241530195978035
totalworkingyears,0.05241764662634563
income_x_joblevel,0.052343525643922334
monthlyincome,0.043785878823014074
distancefromhome,0.04307296793520893
yearsatcompany,0.042346605218045875
satisfaction_composite,0.042264100502112815
income_per_level,0.03570505904117706
hourlyrate,0.03354288237484088
dailyrate,0.03060999736924975
tenure_ratio,0.023324204622586126
avg_years_per_company,0.022305433621701252
yearsincurrentrole,0.020780515188096017
role_stagnation,0.0167025399109568
job_hopping_score,0.016697609410394495
yearswithcurrmanager,0.012401091245781263
percentsalaryhike,0.011055936851152857
hike_ratio,0.011055936851152857
promotion_gap_ratio,0.009578178482519621
yearssincelastpromotion,0.002995810953797042
